Country,Total Cases,Total Deaths,Total Recovered
St. Vincent Grenadines,"9,674",124,"9,493"
Guinea-Bissau,"9,614",177,"8,929"
Comoros,"9,109",161,"8,939"
Antigua and Barbuda,"9,106",146,"8,954"
Liberia,"8,090",295,"7,783"
Sierra Leone,"7,779",126,N/A
Chad,"7,701",194,"4,874"
British Virgin Islands,"7,392",64,N/A
Cook Islands,"7,203",2,"7,150"
Sao Tome and Principe,"6,778",80,"6,685"
Turks and Caicos,"6,752",40,"6,709"
Saint Kitts and Nevis,"6,607",48,"6,559"
Palau,"6,290",10,"6,276"
St. Barth,"5,507",6,N/A
Nauru,"5,393",1,"5,347"
Kiribati,"5,085",24,"2,703"
Anguilla,"3,904",12,N/A
Wallis and Futuna,"3,550",8,438
Saint Pierre Miquelon,"3,452",2,"2,449"
Tuvalu,"2,943",1,N/A
Saint Helena,"2,166",,2
Falkland Islands,"1,930",,"1,930"
Montserrat,"1,403",8,"1,376"
Niue,"1,059",,"1,056"
Diamond Princess,712,13,699
Tokelau,80,,
Vatican City,29,,29
Western Sahara,10,1,9
MS Zaandam,9,2,7
China,"503,302","5,272","379,053"
Total:,"131,889,132","1,695,941","127,665,129"
Total:,"221,500,265","1,553,662","205,673,091"
Total:,"253,406,198","2,101,824","248,754,104"
Total:,"70,200,879","1,367,332","66,683,585"
Total:,"14,895,771","33,015","14,752,388"
Total:,"12,860,924","258,892","12,090,808"
Total:,721,15,706
Total:,"704,753,890","7,010,681","675,619,811"
